section_code,section_number,title,description,category,punishment,source
BNS-277,277,Sale of adulterated drugs,Section 277: Sale of adulterated drugs,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=277&orderno=
BNSS-277,277,Procedure when not convicted,Section 277: Procedure when not convicted,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=277&orderno=
BNS-278,278,Sale of drug as a different drug or preparation,Section 278: Sale of drug as a different drug or preparation,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=278&orderno=
BNSS-278,278,Acquittal or conviction,Section 278: Acquittal or conviction,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=278&orderno=
BNS-279,279,Fouling water of public spring or reservoir,Section 279: Fouling water of public spring or reservoir,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=279&orderno=
BNSS-279,279,Non-appearance or death of complainant,Section 279: Non-appearance or death of complainant,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=279&orderno=
BNS-28,28,Consent known to be given under fear or misconception,Section 28: Consent known to be given under fear or misconception,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=28&orderno=
BNSS-28,28,Withdrawal of powers,Section 28: Withdrawal of powers,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=28&orderno=
EVIDENCE-28,28,Entries in books of account when relevant,Section 28: Entries in books of account when relevant,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=28&orderno=
BNS-280,280,Making atmosphere noxious to health,Section 280: Making atmosphere noxious to health,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=280&orderno=
BNSS-280,280,Withdrawal of complaint,Section 280: Withdrawal of complaint,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=280&orderno=
BNS-281,281,Rash driving or riding on a public way,Section 281: Rash driving or riding on a public way,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=281&orderno=
BNSS-281,281,Power to stop proceedings in certain cases,Section 281: Power to stop proceedings in certain cases,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=281&orderno=
BNS-282,282,Rash navigation of vessel,Section 282: Rash navigation of vessel,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=282&orderno=
BNSS-282,282,Power of Court to convert summons-cases into warrant-cases,Section 282: Power of Court to convert summons-cases into warrant-cases,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=282&orderno=
BNS-283,283,"Exhibition of false light, mark or buoy","Section 283: Exhibition of false light, mark or buoy",Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=283&orderno=
BNSS-283,283,Power to try summarily,Section 283: Power to try summarily,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=283&orderno=
BNS-284,284,Conveying person by water for hire in unsafe or overloaded vessel,Section 284: Conveying person by water for hire in unsafe or overloaded vessel,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=284&orderno=
BNSS-284,284,Summary trial by Magistrate of second class,Section 284: Summary trial by Magistrate of second class,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=284&orderno=
BNS-285,285,Danger or obstruction in public way or line of navigation,Section 285: Danger or obstruction in public way or line of navigation,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=285&orderno=
BNSS-285,285,Procedure for summary trials,Section 285: Procedure for summary trials,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=285&orderno=
BNS-286,286,Negligent conduct with respect to poisonous substance,Section 286: Negligent conduct with respect to poisonous substance,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=286&orderno=
BNSS-286,286,Record in summary trials,Section 286: Record in summary trials,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=286&orderno=
BNS-287,287,Negligent conduct with respect to fire or combustible matter,Section 287: Negligent conduct with respect to fire or combustible matter,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=287&orderno=
